padrao;texto;usuario;sistema;ruusage;gettimeofday
61;5828;0.000000;1890.000000;1890.000000;1859.000000
20;6771;0.000000;2090.000000;2090.000000;2069.000000
4;7387;2329.000000;0.000000;2329.000000;2310.000000
39;632;80.000000;0.000000;80.000000;75.000000
13;9089;2780.000000;0.000000;2780.000000;2703.000000
59;9971;2860.000000;0.000000;2860.000000;2840.000000
52;5987;0.000000;957.000000;957.000000;946.000000
59;4497;1497.000000;0.000000;1497.000000;1471.000000
40;7699;0.000000;2295.000000;2295.000000;2233.000000
52;7633;0.000000;465.000000;465.000000;461.000000
57;9956;3048.000000;1020.000000;4068.000000;4043.000000
14;3709;251.000000;0.000000;251.000000;247.000000
51;7975;0.000000;794.000000;794.000000;787.000000
17;5494;2121.000000;0.000000;2121.000000;2098.000000
15;289;94.000000;0.000000;94.000000;88.000000
10;2154;0.000000;771.000000;771.000000;752.000000
24;6777;2002.000000;0.000000;2002.000000;1978.000000
50;9595;0.000000;2994.000000;2994.000000;3093.000000
21;7353;0.000000;2285.000000;2285.000000;2257.000000
43;8407;0.000000;2140.000000;2140.000000;2117.000000
36;1098;513.000000;0.000000;513.000000;488.000000
23;7270;2107.000000;0.000000;2107.000000;2082.000000
43;600;0.000000;357.000000;357.000000;334.000000
32;152;254.000000;0.000000;254.000000;229.000000
33;3296;1344.000000;0.000000;1344.000000;1323.000000
56;1072;0.000000;506.000000;506.000000;484.000000
9;5975;1896.000000;0.000000;1896.000000;1876.000000
6;8146;800.000000;0.000000;800.000000;795.000000
15;645;375.000000;0.000000;375.000000;353.000000
3;8763;1016.000000;0.000000;1016.000000;1010.000000
64;3234;0.000000;1133.000000;1133.000000;1113.000000
59;4159;1409.000000;0.000000;1409.000000;1389.000000
7;7625;0.000000;2366.000000;2366.000000;2346.000000
49;9022;2727.000000;0.000000;2727.000000;2708.000000
24;1266;0.000000;547.000000;547.000000;528.000000
15;6198;1944.000000;0.000000;1944.000000;1924.000000
49;7291;2270.000000;0.000000;2270.000000;2251.000000
28;6770;734.000000;0.000000;734.000000;728.000000
25;7020;0.000000;2067.000000;2067.000000;2048.000000
26;658;0.000000;375.000000;375.000000;357.000000
1;5894;1862.000000;0.000000;1862.000000;1843.000000
9;6303;2001.000000;0.000000;2001.000000;1980.000000
22;5990;1896.000000;0.000000;1896.000000;1879.000000
47;7964;816.000000;0.000000;816.000000;810.000000
14;1015;0.000000;566.000000;566.000000;544.000000
23;6798;0.000000;2073.000000;2073.000000;2054.000000
47;6440;0.000000;2038.000000;2038.000000;2018.000000
26;4689;1585.000000;0.000000;1585.000000;1565.000000
44;961;458.000000;0.000000;458.000000;440.000000
15;5078;0.000000;1599.000000;1599.000000;1581.000000
1;7482;0.000000;2244.000000;2244.000000;2227.000000
43;6571;734.000000;0.000000;734.000000;728.000000
25;7240;0.000000;2250.000000;2250.000000;2232.000000
8;771;0.000000;455.000000;455.000000;435.000000
53;5644;0.000000;1818.000000;1818.000000;1800.000000
56;9797;2977.000000;0.000000;2977.000000;2958.000000
62;9009;925.000000;0.000000;925.000000;919.000000
4;5665;1886.000000;0.000000;1886.000000;1868.000000
6;2695;993.000000;0.000000;993.000000;972.000000
45;1677;683.000000;0.000000;683.000000;665.000000
48;2794;0.000000;978.000000;978.000000;959.000000
30;7703;848.000000;0.000000;848.000000;841.000000
44;7040;734.000000;0.000000;734.000000;727.000000
48;2857;0.000000;994.000000;994.000000;975.000000
9;9152;1108.000000;0.000000;1108.000000;1102.000000
13;6701;0.000000;2065.000000;2065.000000;2046.000000
16;4908;0.000000;1571.000000;1571.000000;1553.000000
17;6153;0.000000;1907.000000;1907.000000;1889.000000
36;366;0.000000;338.000000;338.000000;317.000000
11;6415;448.000000;0.000000;448.000000;443.000000
12;8707;820.000000;0.000000;820.000000;814.000000
42;4675;0.000000;1507.000000;1507.000000;1487.000000
64;2175;0.000000;808.000000;808.000000;787.000000
55;3446;1180.000000;0.000000;1180.000000;1161.000000
1;1405;663.000000;0.000000;663.000000;641.000000
43;7037;2180.000000;0.000000;2180.000000;2161.000000
53;9249;936.000000;0.000000;936.000000;929.000000
27;179;252.000000;0.000000;252.000000;233.000000
8;8692;976.000000;0.000000;976.000000;970.000000
27;3524;1166.000000;0.000000;1166.000000;1146.000000
58;7582;0.000000;2351.000000;2351.000000;2330.000000
13;1180;0.000000;509.000000;509.000000;490.000000
6;6884;733.000000;0.000000;733.000000;725.000000
18;3361;1182.000000;0.000000;1182.000000;1163.000000
59;9051;2669.000000;0.000000;2669.000000;2651.000000
36;8352;843.000000;0.000000;843.000000;838.000000
57;1757;721.000000;0.000000;721.000000;729.000000
6;4330;0.000000;1444.000000;1444.000000;1426.000000
6;8410;1048.000000;0.000000;1048.000000;1040.000000
49;8497;863.000000;0.000000;863.000000;855.000000
32;7834;867.000000;0.000000;867.000000;862.000000
51;5958;1827.000000;0.000000;1827.000000;1809.000000
12;207;0.000000;288.000000;288.000000;268.000000
33;9078;0.000000;2743.000000;2743.000000;2724.000000
26;3740;1278.000000;0.000000;1278.000000;1260.000000
26;3787;1308.000000;0.000000;1308.000000;1290.000000
24;6017;2373.000000;0.000000;2373.000000;2354.000000
29;2807;1015.000000;0.000000;1015.000000;996.000000
46;2555;0.000000;1104.000000;1104.000000;1083.000000
25;4370;1460.000000;0.000000;1460.000000;1441.000000
27;6661;0.000000;2056.000000;2056.000000;2037.000000
28;4961;1608.000000;0.000000;1608.000000;1583.000000
10;7310;0.000000;2263.000000;2263.000000;2243.000000
36;3783;1285.000000;0.000000;1285.000000;1266.000000
31;1769;692.000000;0.000000;692.000000;673.000000
51;2349;0.000000;831.000000;831.000000;812.000000
15;6793;0.000000;2028.000000;2028.000000;2009.000000
15;8490;876.000000;0.000000;876.000000;870.000000
22;2691;0.000000;959.000000;959.000000;918.000000
55;6976;0.000000;781.000000;781.000000;774.000000
58;4862;0.000000;1546.000000;1546.000000;1527.000000
31;4943;1538.000000;0.000000;1538.000000;1518.000000
7;5749;641.000000;0.000000;641.000000;636.000000
16;8550;2623.000000;0.000000;2623.000000;2604.000000
20;1161;588.000000;0.000000;588.000000;565.000000
39;6700;0.000000;2078.000000;2078.000000;2060.000000
19;8804;909.000000;0.000000;909.000000;902.000000
2;750;386.000000;0.000000;386.000000;367.000000
61;3852;1257.000000;0.000000;1257.000000;1237.000000
12;9023;1173.000000;0.000000;1173.000000;1166.000000
58;2946;0.000000;1011.000000;1011.000000;992.000000
4;4001;1349.000000;0.000000;1349.000000;1329.000000
53;605;374.000000;0.000000;374.000000;353.000000
12;3190;0.000000;1078.000000;1078.000000;1060.000000
7;4955;0.000000;1581.000000;1581.000000;1562.000000
38;3341;1124.000000;0.000000;1124.000000;1105.000000
